constituency_no,constituency_name,total_electors,serial_no,candidate_name,sex,age,category,party,symbol,general_votes,postal_votes,total_votes,vote_pct,winner
1,MANJESHWAR,176817,1,P B ABDUL RAZAK,M,55,GEN,MUL,,49795,22,49817,37.46,True
1,MANJESHWAR,176817,2,K SURENDRAN,M,41,GEN,BJP,,43931,58,43989,33.08,False
1,MANJESHWAR,176817,3,ADV. C H KUNHAMBU,M,51,GEN,CPM,,35014,53,35067,26.37,False
1,MANJESHWAR,176817,4,HAFSA MUNEER,F,34,GEN,IND,,1076,0,1076,0.81,False
1,MANJESHWAR,176817,5,ABDUL MAJEED,M,40,GEN,BSP,,869,0,869,0.65,False
1,MANJESHWAR,176817,6,ABDULLA TIMBER,M,54,GEN,IND,,547,0,547,0.41,False
1,MANJESHWAR,176817,7,KUNHAMBU,M,55,GEN,IND,,490,0,490,0.37,False
1,MANJESHWAR,176817,8,ABDUL RAZAK K,M,31,GEN,IND,,465,0,465,0.35,False
1,MANJESHWAR,176817,9,ABBAS M,M,25,GEN,IND,,391,0,391,0.29,False
1,MANJESHWAR,176817,10,ABDULLA P M,M,46,GEN,IND,,262,0,262,0.2,False
2,KASARAGOD,159289,1,N.A.NELLIKKUNNU,M,57,GEN,MUL,,53033,35,53068,45.35,True
2,KASARAGOD,159289,2,JAYALAKSHMI N BHAT,F,53,GEN,BJP,,43223,107,43330,37.02,False
2,KASARAGOD,159289,3,AZEEZ KADAPPURAM,M,44,GEN,INL,,16437,30,16467,14.07,False
2,KASARAGOD,159289,4,A H MUNEER,M,34,GEN,SDPI,,1259,1,1260,1.08,False
2,KASARAGOD,159289,5,GOVINDA RAJA KUNTIKKANAMATA,M,33,GEN,IND,,937,1,938,0.8,False
2,KASARAGOD,159289,6,SAIFUDEEN K MAKKODU,M,48,GEN,BSP,,807,0,807,0.69,False
2,KASARAGOD,159289,7,AJITH KUMAR AZAD,M,36,GEN,IND,,738,1,739,0.63,False
2,KASARAGOD,159289,8,ABDULLA,M,35,GEN,IND,,422,0,422,0.36,False
3,UDMA,173459,1,K.KUNHIRAMAN,M,62,GEN,CPM,,61457,189,61646,47.93,True
3,UDMA,173459,2,ADV. C K SREEDHARAN,M,66,GEN,INC,,50160,106,50266,39.08,False
3,UDMA,173459,3,SUNITHA PRASANTH,F,33,GEN,BJP,,13056,17,13073,10.16,False
3,UDMA,173459,4,FAISAL KOLIYADUKKAM,M,31,GEN,SDPI,,1265,0,1265,0.98,False
3,UDMA,173459,5,P DAMODARAN,M,37,ST,BSP,,1095,1,1096,0.85,False
3,UDMA,173459,6,KRISHNANKUTTY,M,36,ST,IND,,866,0,866,0.67,False
