Constituency,,Winner,,,,,,,Runner-up,,,,,,,Margin
No.,Name,Candidate,Party,,Alliance,,Votes,%,Candidate,Party,,Alliance,,Votes,%,
Kasaragod district,,,,,,,,,,,,,,,,
1,Manjeshwar,P. B. Abdul Razak,,IUML,,UDF,"56,870",35.79,K. Surendran,,BJP,,NDA,"56,781",35.74,89
2,Kasaragod,N. A. Nellikkunnu,,IUML,,UDF,"64,727",44.72,Ravisha Tantri Kuntar,,BJP,,NDA,"56,120",38.77,"8,607"
3,Udma,K. Kunhiraman,,CPI(M),,LDF,"70,679",43.94,K. Sudhakaran,,INC,,UDF,"66,847",41.55,"3,832"
4,Kanhangad,E. Chandrasekharan,,CPI(M),,LDF,"80,558",49.98,Dhanya Suresh,,INC,,UDF,"54,547",33.84,"26,011"
5,Thrikaripur,M. Rajagopalan,,CPI(M),,LDF,"79,286",50.93,K. P. Kunhikannan,,INC,,UDF,"62,327",40.04,"16,959"
Kannur district,,,,,,,,,,,,,,,,
6,Payyanur,C. Krishnan,,CPI(M),,LDF,"83,226",58.02,Sajid Mavval,,INC,,UDF,"42,963",29.95,"40,263"
7,Kalliasseri,T. V. Rajesh,,CPI(M),,LDF,"83,006",59.83,Amritha Ramakrishnan,,INC,,UDF,"40,115",28.91,"42,891"
8,Taliparamba,James Mathew,,CPI(M),,LDF,"91,106",56.95,Rajesh Nambiar,,KC(M),,UDF,"50,489",31.56,"40,617"
9,Irikkur,K. C. Joseph,,INC,,UDF,"72,548",49,K. T. Jose,,CPI,,LDF,"62,901",42.48,"9,647"
10,Azhikode,K. M. Shaji,,IUML,,UDF,"63,082",44.58,M. V. Nikesh Kumar,,CPI(M),,LDF,"60,795",42.97,"2,287"
11,Kannur,Kadannappalli Ramachandran,,Cong(S),,LDF,"54,347",43.06,Satheesan Pacheni,,INC,,UDF,"53,151",42.11,"1,196"
12,Dharmadam,Pinarayi Vijayan,,CPI(M),,LDF,"87,329",56.84,Mambaram Divakaran,,INC,,UDF,"50,424",32.82,"36,905"
13,Thalassery,A. N. Shamseer,,CPI(M),,LDF,"70,741",53.32,A. P. Abdullakutty,,INC,,UDF,"36,624",27.61,"34,117"
14,Kuthuparamba,K. K. Shailaja,,CPI(M),,LDF,"67,013",45.64,K. P. Mohanan,,JD(U),,UDF,"54,722",37.27,"12,891"
15,Mattanur,E. P. Jayarajan,,CPI(M),,LDF,"84,030",56.52,K. P. Prashanth,,JD(U),,UDF,"40,649",27.34,"43,381"
16,Peravoor,Sunny Joseph,,INC,,UDF,"65,659",48.1,Binoy Kurian,,CPI(M),,LDF,"57,670",42.25,"7,989"
Wayanad district,,,,,,,,,,,,,,,,
17,Mananthavady (ST),O. R. Kelu,,CPI(M),,LDF,"62,436",42.88,P. K. Jayalakshmi,,INC,,UDF,"61,129",41.99,"1,307"
18,Sulthan Bathery (ST),I. C. Balakrishnan,,INC,,UDF,"75,747",44.04,Rugmini Subrahmanian,,CPI(M),,LDF,"64,549",37.53,"11,198"
19,Kalpetta,C. K. Saseendran,,CPI(M),,LDF,"72,959",48.35,M. V. Shreyams Kumar,,JD(U),,UDF,"59,876",39.68,"13,083"
Kozhikode district,,,,,,,,,,,,,,,,
