Number,Constituency,District,UDF candidate|UDF candidate[3][4],Party,Votes,LDF candidate[5][6][7],Party,Votes,NDA candidate[8][9],Party,Votes,Winner,Margin,Winning party,Winning Alliance
1,Manjeshwaram,Kasaragod,A. K. M. Ashraf,IUML,65758,V. V. Rameshan,CPI(M),"40,639",K. Surendran,BJP,65013,A. K. M. Ashraf,745,IUML,UDF
2,Kasargod,Kasaragod,N. A. Nellikkunnu,IUML,63296,M. A. Latheef,INL,"28,323",K. Sreekanth,BJP,50395,N. A. Nellikkunnu,12901,IUML,UDF
3,Udma,Kasaragod,Periya Balakrishnan,INC,65342,C. H. Kunhambu,CPI(M),"78,664",A. Velayudhan,BJP,20360,C. H. Kunhambu,13322,CPI(M),LDF
4,Kanhangad,Kasaragod,P. V. Suresh,INC,57476,E. Chandrasekharan,CPI,"84,615",M. Balraj,BJP,21570,E. Chandrasekharan,27139,CPI,LDF
5,Thrikkaripur,Kasaragod,M. P. Joseph,KC,60014,M. Rajagopal,CPI(M),"86,151",T. V. Shibin,BJP,10961,M. Rajagopal,26137,CPI(M),LDF
6,Payyannur,Kannur,M. Pradeep Kumar,INC,43915,T. I. Madusoodhanan,CPI(M),93695,K. K. Sreedharan,BJP,11308,T. I. Madusoodhanan,49780,CPI(M),LDF
7,Kalliasseri,Kannur,Brijesh Kumar,INC,43859,M. Vijin,CPI(M),"88,252",Arun Kaithapram,BJP,11365,M. Vijin,44393,CPI(M),LDF
8,Thaliparamba,Kannur,Abdul Rasheed V. P.,INC,70181,M. V. Govindan,CPI(M),"92,870",Gangadharan A. P.,BJP,13058,M. V. Govindan,22689,CPI(M),LDF
9,Irikkur,Kannur,Sajeev Joseph,INC,76764,Saji Kuttiyanimattom,KC(M),"66,754",Aniyamma Rajendran,BJP,7825,Sajeev Joseph,10010,INC,UDF
10,Azhikode,Kannur,K. M. Shaji,IUML,59653,K. V. Sumesh,CPI(M),"65,794",K. Ranjith,BJP,15741,K. V. Sumesh,6141,CPI(M),LDF
11,Kannur,Kannur,Satheeshan Pacheni,INC,58568,Kadannappalli Ramachandran,Con(S),"60,313",Archana Vandichal,BJP,11587,Kadannappalli Ramachandran,1745,Con(S),LDF
12,Dharmadom,Kannur,C. Raghunath,INC,45399,Pinarayi Vijayan,CPI(M),"95,522",C. K. Padmanabhan,BJP,14623,Pinarayi Vijayan,50123,CPI(M),LDF
13,Thalassery,Kannur,M. P. Aravindakshan,INC,45009,A. N. Shamseer,CPI(M),"81,810",No Candidate,NA,NA,A. N. Shamseer,36801,CPI(M),LDF
14,Kuthuparamba,Kannur,Pottankandi Abdulla,IUML,61085,K. P. Mohanan,LJD,"70,626",C. Sadanandan Master,BJP,21212,K. P. Mohanan,9541,LJD,LDF
15,Mattannur,Kannur,Illikkal Agasthy,RSP,35166,K. K. Shailaja,CPI(M),"96,129",Biju Elakkuzhi,BJP,18223,K. K. Shailaja,60963,CPI(M),LDF
16,Peravoor,Kannur,Sunny Joseph,INC,66706,Sakeer Hussain,CPI(M),"63,534",Smitha Jayamohan,BJP,8943,Sunny Joseph,3172,INC,UDF
