No.,Constituency,State assembly constituency,UDF,LDF,NDA,Lead,Runner-up,Margin
1,Kasaragod,Manjeshwaram,"74,437","30,156","57,179",UDF,NDA,"17,258"
2,Kasaragod,Kasaragod,"73,407","26,162","47,032",UDF,NDA,"26,375"
3,Kasaragod,Udma,"72,448","60,489","31,245",UDF,LDF,"11,959"
4,Kasaragod,Kanhangad,"69,171","67,121","29,301",UDF,LDF,"2,050"
5,Kasaragod,Thrikaripur,"75,643","65,195","17,085",UDF,LDF,"10,448"
6,Kasaragod,Payyanur,"58,184","71,441","18,466",LDF,UDF,"13,257"
7,Kasaragod,Kalliasseri,"64,347","65,405","17,688",LDF,UDF,"1,058"
8,Kannur,Taliparamba,"84,331","75,544","16,706",UDF,LDF,"8,787"
9,Kannur,Irikkur,"81,144","46,358","13,562",UDF,LDF,"34,786"
10,Kannur,Azhikode,"69,919","47,701","19,832",ś,LDF,"22,218"
11,Kannur,Kannur,"69,824","43,794","16,975",UDF,LDF,"26,030"
12,Kannur,Dharmadom,"69,178","71,794","16,711",LDF,UDF,"2,616"
13,Kannur,Mattanur,"67,432","70,466","19,159",LDF,UDF,"3,034"
14,Kannur,Peravoor,"70,438","46,957","15,407",UDF,LDF,"23,481"
15,Vatakara,Thalassery,"53,449","62,079","18,869",LDF,UDF,"8,630"
16,Vatakara,Kuthuparamba,"72,134","61,242","20,710",UDF,LDF,"10,892"
17,Vatakara,Vatakara,"72,366","50,284","13,612",UDF,LDF,"22,082"
18,Vatakara,Kuttiadi,"91,782","68,147","11,586",UDF,LDF,"23,635"
19,Vatakara,Nadapuram,"95,767","71,890","12,451",UDF,LDF,"23,877"
20,Vatakara,Koyilandy,"82,099","58,036","20,699",UDF,LDF,"24,063"
21,Vatakara,Perambra,"84,125","65,040","12,485",UDF,LDF,"19,085"
22,Wayanad,Mananthavady,"79,026","40,305","25,503",UDF,LDF,"38,721"
23,Wayanad,Sulthan Bathery,"84,439","40,458","35,709",UDF,LDF,"43,981"
24,Wayanad,Kalpetta,"88,786","39,129","24,431",UDF,LDF,"49,657"
25,Wayanad,Thiruvambady,"83,219","36,663","13,374",UDF,LDF,"46,556"
26,Wayanad,Eranad,"95,194","37,451","9,723",UDF,LDF,"57,743"
27,Wayanad,Nilambur,"99,325","42,962","17,520",UDF,LDF,"56,363"
28,Wayanad,Wandoor,"1,12,310","43,626","13,608",UDF,LDF,"68,684"
29,Kozhikode,Balussery,"84,834","67,200","22,714",UDF,LDF,"17,634"
30,Kozhikode,Elathur,"69,632","59,141","29,609",UDF,LDF,"10,491"
31,Kozhikode,Kozhikode North,"55,197","40,266","32,481",UDF,LDF,"14,931"
32,Kozhikode,Kozhikode South,"55,671","34,608","25,943",UDF,LDF,"21,063"
33,Kozhikode,Beypore,"76,654","57,093","25,943",UDF,LDF,"19,561"
34,Kozhikode,Kunnamangalam,"88,054","64,752","32,860",UDF,LDF,"23,302"
35,Kozhikode,Koduvally,"84,772","46,128","12,830",UDF,LDF,"38,644"
36,Malappuram,Kondotty,"95,025","50,038","14,150",UDF,LDF,"44,987"
37,Malappuram,Manjeri,"92,346","50,026","12,823",UDF,LDF,"42,320"
38,Malappuram,Perinthalmanna,"85,319","58,520","10,486",UDF,LDF,"26,799"
39,Malappuram,Mankada,"92,383","51,350","10,604",UDF,LDF,"41,033"
40,Malappuram,Malappuram,"1,04,787","50,706","7,983",UDF,LDF,"54,041"
41,Malappuram,Vengara,"90,142","33,745","7,414",UDF,LDF,"56,397"
42,Malappuram,Vallikunnu,"80,307","47,125","21,069",UDF,LDF,"33,182"
43,Ponnani,Tirurangadi,"92,980","38,833","11,393",UDF,LDF,"54,147"
44,Ponnani,Tanur,"83,556","41,587","14,861",UDF,LDF,"41,969"
45,Ponnani,Tirur,"99,468","49,138","12,592",UDF,LDF,"50,330"
46,Ponnani,Kottakkal,"93,070","47,143","14,406",UDF,LDF,"45,927"
47,Ponnani,Thavanur,"66,681","48,665","24,204",UDF,LDF,"18,016"
48,Ponnani,Ponnani,"63,995","48,579","20,115",UDF,LDF,"15,416"
