election_year,alliance,constituency,candidate_name,result,notes
2011,LDF,Unknown (4 constituencies),Multiple,Unknown,Wikipedia lists 4 LDF-backed independents in 2011 but does not name all constituencies in the summary table
2016,LDF,Kunnamangalam,P. T. A. Rahim,WON,Independent backed by LDF
2016,LDF,Koduvally,Karat Razack,WON,Independent backed by LDF
2016,LDF,Nilambur,P. V. Anvar,WON,Independent backed by LDF; later joined Trinamool Congress and UDF
2016,LDF,Thavanur,K. T. Jaleel,WON,Independent backed by LDF
2016,LDF,Kondotty,K. P. Beerankutty,LOST,Independent backed by LDF
2016,LDF,Eranad,K. T. Abdurahiman,LOST,Independent backed by LDF
2016,LDF,Tirurangadi,Niyas Pulikkalakath,LOST,Independent backed by LDF
2016,UDF,Balussery (SC),U. C. Raman Padanilam,LOST,Independent backed by UDF
2021,LDF,Multiple (12 constituencies),Multiple,Unknown,LDF fielded 12 independent candidates; full constituency-wise list requires individual constituency pages
2021,UDF,Pala,Mani C. Kappan,WON,Contested as UDF-backed independent; his party NCK was formally part of UDF
2021,NDA,Guruvayur,DSJP candidate,LOST,NDA gave formal support to DSJP candidate after BJP nomination was rejected by Election Commission
2021,NDA,Devikulam (SC),AIADMK candidate,LOST,NDA gave support to AIADMK candidate after own nomination was rejected by Election Commission
2021,NDA,Thalassery,Independent (unnamed),N/A,NDA offered support to an independent who declined the offer
2026,LDF,TBD,TBD,TBD,2026 results not available
2026,UDF,TBD,TBD,TBD,2026 results not available
2026,NDA,TBD,TBD,TBD,2026 results not available
