constituency_no,constituency_name,total_electors,general_votes,postal_votes,total_votes,turnout_pct
1,MANJESHWAR,176817,132840,133,132973,75.2
2,KASARAGOD,159289,116856,175,117031,73.47
3,UDMA,173459,128313,313,128626,74.15
4,KANHANGAD,178139,139416,425,139841,78.5
5,TRIKARIPUR,169395,135117,871,135988,80.28
6,PAYYANNUR,158613,129698,968,130666,82.38
7,KALLIASSERI,157384,124263,591,124854,79.33
8,TALIPARAMBA,174788,143557,806,144363,82.59
9,IRIKKUR,169262,130094,609,130703,77.22
10,AZHIKODE,147782,121218,614,121832,82.44
11,KANNUR,143828,112639,721,113360,78.82
12,DHARMADAM,163674,135279,898,136177,83.2
13,THALASSERY,149689,117257,506,117763,78.67
14,KUTHUPARAMBA,160335,127465,464,127929,79.79
15,MATTANNUR,160711,132306,641,132947,82.72
16,PERAVOOR,145983,116314,499,116813,80.02
17,MANANTHAVADY  (ST),167097,123691,361,124052,74.24
18,SULTHANBATHERY  (ST),198645,145103,409,145512,73.25
19,KALPETTA,170245,126212,372,126584,74.35
20,VADAKARA,141564,113676,591,114267,80.72
21,KUTTIADI,162389,141339,1114,142453,87.72
22,NADAPURAM,177993,145835,595,146430,82.27
23,QUILANDY,166632,135464,930,136394,81.85
24,PERAMBRA,159699,134064,1270,135334,84.74
25,BALUSSERI  (SC),185109,149833,1171,151004,81.58
26,ELATHUR,162830,132824,1082,133906,82.24
27,KOZHIKODE NORTH,150425,115492,808,116300,77.31
28,KOZHIKODE SOUTH,132780,103355,316,103671,78.08
29,BEYPORE,164045,128934,456,129390,78.87
30,KUNNAMANGALAM,178089,149112,1075,150187,84.33
31,KODUVALLY,142384,113124,700,113824,79.94
32,THIRUVAMBADY,145763,115053,701,115754,79.41
33,KONDOTTY,158057,119187,488,119675,75.72
34,ERANAD,141833,113912,523,114435,80.68
35,NILAMBUR,174945,135839,519,136358,77.94
36,WANDOOR  (SC),180715,132314,296,132610,73.38
37,MANJERI,164144,116311,242,116553,71.01
38,PERINTHALMANNA,165042,133189,546,133735,81.03
39,MANKADA,164067,120713,534,121247,73.9
40,MALAPPURAM,167739,121783,462,122245,72.88
41,VENGARA,144317,99384,146,99530,68.97
42,VALLIKKUNNU,156307,112749,555,113304,72.49
43,TIRURANGADI,152896,100170,153,100323,65.62
44,TANUR,133276,103944,162,104106,78.11
45,TIRUR,166314,126113,240,126353,75.97
46,KOTTAKKAL,167498,118080,263,118343,70.65
47,THAVANUR,156486,121974,323,122297,78.15
48,PONNANI,158680,120940,218,121158,76.35
49,THRITHALA,155638,121760,360,122120,78.46
50,PATTAMBI,153713,117474,344,117818,76.65
51,SHORNUR,163885,119932,328,120260,73.38
52,OTTAPALAM,175066,130845,589,131434,75.08
53,KONGAD  (SC),155799,113107,376,113483,72.84
54,MANNARKAD,166275,120690,505,121195,72.89
55,MALAMPUZHA,180648,135627,689,136316,75.46
56,PALAKKAD,154374,111859,488,112347,72.78
57,TARUR  (SC),149387,111999,289,112288,75.17
58,CHITTUR,167800,135671,528,136199,81.17
59,NENMARA,172069,133604,470,134074,77.92
60,ALATHUR,152827,115769,276,116045,75.93
61,CHELAKKARA  (SC),173746,132726,216,132942,76.52
62,KUNNAMKULAM,174161,131054,290,131344,75.42
63,GURUVAYOOR,178144,128071,205,128276,72.01
64,MANALUR,189976,139066,425,139491,73.43
65,WADAKKANCHERY,176069,138603,581,139184,79.05
66,OLLUR,176875,131263,455,131718,74.47
67,THRISSUR,161886,112061,733,112794,69.67
68,NATTIKA  (SC),179535,128261,321,128582,71.62
69,KAIPAMANGALAM,151356,116796,314,117110,77.37
70,IRINJALAKKUDA,174214,131879,500,132379,75.99
71,PUTHUKKAD,176055,137874,377,138251,78.53
72,CHALAKKUDY,172679,131533,504,132037,76.46
73,KODUNGALLUR,169056,128199,515,128714,76.14
74,PERUMBAVOOR,154432,125160,579,125739,81.42
75,ANGAMALY,152370,123681,405,124086,81.44
76,ALUVA,158819,127455,415,127870,80.51
77,KALAMASSERY,165107,131251,425,131676,79.75
78,PARAVUR,171172,143522,602,144124,84.2
79,VYPEN,152040,120383,343,120726,79.4
80,KOCHI,158548,105451,141,105592,66.6
81,THRIPUNITHURA,171652,130701,276,130977,76.3
82,ERANAKULAM,136722,97087,210,97297,71.16
83,THRIKKAKARA,159877,117575,278,117853,73.71
