constituency_no,constituency_name,total_electors,serial_no,candidate_name,sex,age,category,party,symbol,general_votes,postal_votes,total_votes,vote_pct,winner
1,MANJESHWAR,221711,1,A K M ASHRAF,MALE,43,GENERAL,IUML,Ladder,65190,568,65758,38.14,TRUE
1,MANJESHWAR,221711,2,K SURENDRAN,MALE,51,GENERAL,BJP,Lotus,64000,1013,65013,37.7,FALSE
1,MANJESHWAR,221711,3,V V RAMESHAN,MALE,54,GENERAL,CPI(M),"Hammer, Sickle and Star",40098,541,40639,23.57,FALSE
1,MANJESHWAR,221711,,NOTA,,,,NOTA,NOTA,387,0,387,0.22,FALSE
1,MANJESHWAR,221711,5,PRAVEEN KUMAR S,MALE,30,SC,ADHRMPI,Pot,250,1,251,0.15,FALSE
1,MANJESHWAR,221711,6,SURENDRAN M S/o PADMAVATHI M,MALE,51,GENERAL,IND,Pineapple,196,1,197,0.11,FALSE
1,MANJESHWAR,221711,7,JOHN D SOUZA I,MALE,58,GENERAL,IND,Auto- Rickshaw,180,1,181,0.1,FALSE
2,KASARAGOD,201863,1,N A NELLIKKUNNU,MALE,67,GENERAL,IUML,Ladder,62824,472,63296,43.8,TRUE
2,KASARAGOD,201863,2,ADV K SHREEKANTH,MALE,45,GENERAL,BJP,Lotus,49737,658,50395,34.88,FALSE
2,KASARAGOD,201863,3,M A LATHEEF,MALE,55,GENERAL,INL,Football,28028,295,28323,19.6,FALSE
2,KASARAGOD,201863,4,VIJAYA K P,MALE,60,SC,BSP,Elephant,664,15,679,0.47,FALSE
2,KASARAGOD,201863,,NOTA,,,,NOTA,NOTA,629,10,639,0.44,FALSE
2,KASARAGOD,201863,6,RANJITH RAJ M,MALE,28,SC,ADHRMPI,Pot,545,10,555,0.38,FALSE
2,KASARAGOD,201863,7,NISHANTH KUMAR I B,MALE,29,SC,IND,Battery torch,412,5,417,0.29,FALSE
2,KASARAGOD,201863,8,SUDHAKARAN K,MALE,43,SC,IND,DIAMOND,192,4,196,0.14,FALSE
3,UDMA,214368,1,C H KUNHAMBU,MALE,61,GENERAL,CPI(M),"Hammer, Sickle and Star",76733,1931,78664,47.58,TRUE
3,UDMA,214368,2,BALAKRISHNAN PERIYE,MALE,49,GENERAL,INC,Hand,64117,1225,65342,39.52,FALSE
3,UDMA,214368,3,A VELAYUDHAN,MALE,53,GENERAL,BJP,Lotus,19978,382,20360,12.31,FALSE
3,UDMA,214368,,NOTA,,,,NOTA,NOTA,430,4,434,0.26,FALSE
3,UDMA,214368,5,RAMESHAN K,MALE,28,ST,IND,Pot,204,3,207,0.13,FALSE
3,UDMA,214368,7,KUNHAMBU K S/o Kuttappan K C,MALE,51,GENERAL,IND,HOCKEY and BALL,134,6,140,0.08,FALSE
4,KANHANGAD,218836,1,E CHANDRASHEKARAN,MALE,72,GENERAL,CPI,Ears of Corn And Sickle,82189,2426,84615,50.72,TRUE
4,KANHANGAD,218836,2,P V SURESH,MALE,44,GENERAL,INC,Hand,56112,1364,57476,34.45,FALSE
4,KANHANGAD,218836,3,BALRAJ,MALE,53,GENERAL,BJP,Lotus,21119,451,21570,12.93,FALSE
4,KANHANGAD,218836,4,ABDUL SAMAD. T S/o T KUNHAMU HAJI,MALE,45,GENERAL,SDPI,Scissors,774,1,775,0.46,FALSE
4,KANHANGAD,218836,,NOTA,,,,NOTA,NOTA,620,17,637,0.38,FALSE
4,KANHANGAD,218836,6,AUGUSTIN,MALE,55,GENERAL,IND,Walking Stick,495,37,532,0.32,FALSE
4,KANHANGAD,218836,7,KRISHNAN PARAPPACHAL,MALE,50,ST,IND,Auto- Rickshaw,347,10,357,0.21,FALSE
4,KANHANGAD,218836,8,SURESH. B C S/o CHENIYAN NAIK,MALE,26,GENERAL,IND,Glass Tumbler,276,1,277,0.17,FALSE
4,KANHANGAD,218836,9,SREENATH SASI. T C V,MALE,37,GENERAL,IND,Pineapple,218,1,219,0.13,FALSE
4,KANHANGAD,218836,10,RESHMA KARIVEDAKAM,FEMALE,25,ST,ADHRMPI,Pot,181,4,185,0.11,FALSE
4,KANHANGAD,218836,11,MANOJ THOMAS,MALE,40,GENERAL,IND,Battery torch,93,12,105,0.06,FALSE
4,KANHANGAD,218836,12,T ABDUL SAMAD S/o T KUNHIKOYA HAJI,MALE,49,GENERAL,JD(U),Arrow,86,1,87,0.05,FALSE
5,TRIKARIPUR,203189,1,M RAJAGOPALAN,MALE,60,GENERAL,CPI(M),"Hammer, Sickle and Star",82556,3595,86151,53.71,TRUE
5,TRIKARIPUR,203189,2,M P JOSEPH,MALE,67,GENERAL,KEC,Tractor Chalata Kisan,58200,1814,60014,37.41,FALSE
5,TRIKARIPUR,203189,3,SHIBIN T V,MALE,35,GENERAL,BJP,Lotus,10621,340,10961,6.83,FALSE
5,TRIKARIPUR,203189,4,LIYAKATHALI P,MALE,44,GENERAL,SDPI,Scissors,1188,23,1211,0.75,FALSE
5,TRIKARIPUR,203189,5,T MAHESH MASTER,MALE,36,SC,WPOI,Gas Cylinder,799,18,817,0.51,FALSE
5,TRIKARIPUR,203189,,NOTA,,,,NOTA,NOTA,521,37,558,0.35,FALSE
5,TRIKARIPUR,203189,7,JOY JOHN,MALE,66,GENERAL,IND,Television,352,10,362,0.23,FALSE
5,TRIKARIPUR,203189,8,M V JOSEPH,MALE,67,GENERAL,IND,Violin,192,26,218,0.14,FALSE
5,TRIKARIPUR,203189,9,SUDHAN VELLARIKKUND,MALE,46,ST,ADHRMPI,Pot,104,12,116,0.07,FALSE
6,PAYYANNUR,184264,1,T I MADHUSOODANAN,MALE,61,GENERAL,CPI(M),"Hammer, Sickle and Star",89909,3786,93695,62.49,TRUE
6,PAYYANNUR,184264,2,M PRADEEP KUMAR,MALE,58,GENERAL,INC,Hand,42723,1192,43915,29.29,FALSE
6,PAYYANNUR,184264,3,Adv K K SREEDHARAN,MALE,62,GENERAL,BJP,Lotus,11048,260,11308,7.54,FALSE
6,PAYYANNUR,184264,,NOTA,,,,NOTA,NOTA,653,33,686,0.46,FALSE
6,PAYYANNUR,184264,5,ABHILASH K V,MALE,30,GENERAL,IND,Pineapple,334,7,341,0.23,FALSE
7,KALLIASSERI,185592,1,M VIJIN,MALE,31,GENERAL,CPI(M),"Hammer, Sickle and Star",85304,2948,88252,60.62,TRUE
7,KALLIASSERI,185592,2,ADV. BRIJESH KUMAR,MALE,42,GENERAL,INC,Hand,42785,1074,43859,30.13,FALSE
7,KALLIASSERI,185592,3,ARUN KAITHAPRAM,MALE,27,GENERAL,BJP,Lotus,11135,230,11365,7.81,FALSE
7,KALLIASSERI,185592,4,FAIZAL MADAYI,MALE,37,GENERAL,WPOI,Gas Cylinder,1141,28,1169,0.8,FALSE
7,KALLIASSERI,185592,,NOTA,,,,NOTA,NOTA,647,19,666,0.46,FALSE
7,KALLIASSERI,185592,6,BRIJESHKUMAR M. S/o AMBU,MALE,39,GENERAL,IND,Frock,272,2,274,0.19,FALSE
8,TALIPARAMBA,214068,1,M V GOVINDAN MASTER,MALE,69,GENERAL,CPI(M),"Hammer, Sickle and Star",89248,3622,92870,52.14,TRUE
8,TALIPARAMBA,214068,2,ADV. V P ABDUL RASHEED,MALE,30,GENERAL,INC,Hand,68539,1642,70181,39.4,FALSE
8,TALIPARAMBA,214068,3,A P GANGADHARAN,MALE,59,GENERAL,BJP,Lotus,12737,321,13058,7.33,FALSE
8,TALIPARAMBA,214068,,NOTA,,,,NOTA,NOTA,773,16,789,0.44,FALSE
8,TALIPARAMBA,214068,5,SHIJITH K O P,MALE,42,GENERAL,IND,Walking Stick,497,11,508,0.29,FALSE
8,TALIPARAMBA,214068,6,ABDUL RASHEED S/o ISMAIL,MALE,64,GENERAL,IND,Ginger,364,1,365,0.2,FALSE
8,TALIPARAMBA,214068,7,C BALAKRISHNAN YADAV,MALE,60,GENERAL,IND,Football,186,5,191,0.11,FALSE
8,TALIPARAMBA,214068,8,GOVINDAN KARAYAPATH,MALE,66,GENERAL,IND,Dish Antenna,138,12,150,0.08,FALSE
9,IRIKKUR,195695,1,Adv. Sajeev Joseph,MALE,48,GENERAL,INC,Hand,74194,2570,76764,50.33,TRUE
9,IRIKKUR,195695,2,SAJI KUTTIYANIMATTAM,MALE,52,GENERAL,KEC(M),Two Leaves,64467,2287,66754,43.77,FALSE
9,IRIKKUR,195695,3,ANIAMMA TEACHER,FEMALE,58,GENERAL,BJP,Lotus,7608,217,7825,5.13,FALSE
9,IRIKKUR,195695,,NOTA,,,,NOTA,NOTA,449,10,459,0.3,FALSE
9,IRIKKUR,195695,5,CHACKO KARIMBIL,MALE,56,GENERAL,IND,Trumpet,295,16,311,0.2,FALSE
9,IRIKKUR,195695,6,SAJAN KUTTIYANIKKAL,MALE,41,GENERAL,IND,Electric Pole,268,7,275,0.18,FALSE
9,IRIKKUR,195695,7,Joy John,MALE,66,GENERAL,IND,Television,123,5,128,0.08,FALSE
10,AZHIKODE,181838,1,K V Sumesh,MALE,42,GENERAL,CPI(M),"Hammer, Sickle and Star",63895,1899,65794,45.41,TRUE
10,AZHIKODE,181838,2,K M Shaji,MALE,51,GENERAL,IUML,Ladder,58490,1163,59653,41.17,FALSE
10,AZHIKODE,181838,3,K Ranjith,MALE,52,GENERAL,BJP,Lotus,15403,338,15741,10.86,FALSE
10,AZHIKODE,181838,4,ABDUL JABBAR K K,MALE,48,GENERAL,SDPI,Scissors,2348,9,2357,1.63,FALSE
